id,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-399E6EC5AEF247298E91-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,9 dk.,"4,3 km",MG-MXSE2OEBH6HUM4ODCDN3,40.9511543,29.1021923
DD-E067D5F77687454582E3-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,15 dk.,"8,9 km",MG-VISH8POGEX9TDVOGRACE,40.9227085,29.1342212
DD-F86FE65F87054027A35E-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,14 dk.,"8,0 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
DD-C580D40803BA401E9148-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,20 dk.,"15,5 km",MG-LEOVSQ2VO3KGWOCAKQNX,40.967565,29.26595
DD-20CC80B0B93F4DBDBD20-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"10,5 km",MG-PLAUD8AN0LPMGFUJWAIO,40.9497961,29.173943
DD-525189ECFF634E259EE8-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,15 dk.,"10,0 km",MG-FPSXQ62YWQZ8GFRXNIUR,40.9191952,29.1641401
DD-2DC785434463410F95C9-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,12 dk.,"10,0 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
DD-AB6DD66E8F2741E29408-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,12 dk.,"9,2 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-26198D66F41F43FDAECA-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,13 dk.,"10,1 km",MG-STQFARWCNFZ85VRF7ZRK,41.0250387,29.1066022
DD-284A18D7F2EA4A82942F-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,15 dk.,"9,2 km",MG-0YQN4Q7IEZGB3TKJWO8H,41.024865,29.087227
DD-270EA53E2DB3469E822D-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,15 dk.,"7,9 km",MG-MIUDLTMHB4IBGMX7QI9M,41.0162646,29.17775
DD-A228D2AEE8D740BE84B8-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,13 dk.,"10,6 km",MG-W8BLMRKFKLFOQI1NLTYU,41.03332899999999,29.10136
DD-77576A34AF1D442E80F6-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,13 dk.,"10,9 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
DD-9A965BDC0B8B4CD6A51A-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,21 dk.,"16,5 km",MG-VJEUBK1JZEQGFUY13AYK,41.049788,29.0545406
DD-79C1F041CBFE4F97A45E-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"15,4 km",MG-3Y9X0UEV5LLRUAI9TMLQ,41.0443431,29.0453111
DD-BF2A63A1D5794F70AEAF-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,15 dk.,"12,5 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
DD-EFFDE5F99552453BAB39-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,12 dk.,"5,8 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
DD-89F1981F4CDF4C3EBCA0-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,12 dk.,"6,6 km",MG-JMPF7MWR6SCBZIBCECIE,41.0005735,29.0673931
DD-041CFC029F814539A2B3-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,17 dk.,"14,0 km",MG-SQXXEQ2NDMBM6FYLKIVH,41.025016,29.0188198
DD-82494BBB99C540D89A40-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,8 dk.,"4,1 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
DD-497764A0F46D47349B7A-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,17 dk.,"18,1 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
DD-254B108933A84633AF1E-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,14 dk.,"5,5 km",MG-OQKXLDBMXGBBSWW0MYXC,40.9688014,29.061672
DD-2FA977559757440C8658-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,8 dk.,"3,8 km",MG-2SYSVZEF8KLLWLVNFAQR,40.9718981,29.0739874
DD-E116AB8A383B4DF3BF9D-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,12 dk.,"4,9 km",MG-NJ56INKIZI4WVHA0SBRH,40.9680529,29.0663491
DD-98166AED338E4F3C853F-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,13 dk.,"10,1 km",MG-EJNHCVEPCM9TCEP7WQT3,40.9901694,29.0239624
DD-7880384023CD4836A84B-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,17 dk.,"16,0 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
DD-E2A703050A1C44D587F6-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,8 dk.,"3,7 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
DD-C4847A560048439CAADF-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,7 dk.,"2,9 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
DD-92CF0B153E504930B709-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,22 dk.,"19,1 km",MG-8Y7P0IPO1TEELN1HDSZ9,41.0291666,29.2241438
DD-89F2C9708B9E4660BE23-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,12 dk.,"8,8 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
DD-FB60487979B347899E55-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,16 dk.,"14,7 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
DD-BEE1AC2DBDE54F4F9A87-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,10 dk.,"4,5 km",MG-HOSMOXLSEJUNB6YAGKCM,40.98186700000001,29.0576302
DD-BAA2E93594E34FFCBFA9-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,14 dk.,"6,1 km",MG-4JCGOHYUHUOCVVHKVKGE,40.9737143,29.0549652
DD-945CB2F0A41A417B8E3D-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,15 dk.,"10,9 km",MG-FCQILG1RYT2W2HNIYPZC,40.983599,29.0237147
DD-5F9DCC3F0BE740C6A7DB-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,7 dk.,"4,4 km",MG-YAWROOME9WOI7UMDOJBC,40.96451829999999,29.1072718
DD-123E2C1AAE3E4595844A-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,10 dk.,"7,8 km",MG-VU46JMWBFPWZB2Z6G4IO,41.011559,29.0384443
DD-D2069837E2444A92966C-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,8 dk.,"7,3 km",MG-HKDDSLZ7DHNEXPDPO6OX,41.0010389,29.029593
DD-E913960C9A274188BACF-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,4 dk.,"2,1 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-751EB13A61014B35B961-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,17 dk.,"13,9 km",MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842
DD-DA87E199A89D4D488929-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,16 dk.,"13,0 km",MG-PJTPBQMDNFYF13IHOERG,40.908962,29.161173
DD-BC176D0046D042988D80-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,9 dk.,"5,6 km",MG-MXSE2OEBH6HUM4ODCDN3,40.9511543,29.1021923
DD-C67FBD637CE04EFCB5B8-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,21 dk.,"18,3 km",MG-X9VCUJWHQBVPQAGDMGXV,40.8888229,29.1874825
DD-AABBD713F5604EBDA844-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,18 dk.,"17,2 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
DD-EAC2ADCB1AEC4E72AA65-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,19 dk.,"16,1 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
DD-FF13708511464D9DB33C-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,13 dk.,"10,0 km",MG-VISH8POGEX9TDVOGRACE,40.9227085,29.1342212
DD-830E9FE9E7844751B952-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,17 dk.,"11,6 km",MG-PLAUD8AN0LPMGFUJWAIO,40.9497961,29.173943
DD-DF95BB59AD124D86902E-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,14 dk.,"10,3 km",MG-FYEKUDWVT2HT9PHGOHQW,40.9227993,29.1298266
DD-A3A576B4F0C94B5880A8-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,14 dk.,"11,1 km",MG-FPSXQ62YWQZ8GFRXNIUR,40.9191952,29.1641401
DD-F9BC89E45402420A94B0-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,10 dk.,"6,9 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
DD-FE0D39B453184DE1A466-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,11 dk.,"10,9 km",MG-PB1BQVMGF5OMPTYQKXFX,40.9194316,29.1668144
DD-B08342425AEF40549574-2023-2-5,MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,12 dk.,"9,1 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
