id,date,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-6E2BACF27FA148E2BFE6-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,28 dk.,"12,4 km",MG-PJTPBQMDNFYF13IHOERG,40.908962,29.161173
DD-8D3F48259741454989D7-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,27 dk.,"14,9 km",MG-LEOVSQ2VO3KGWOCAKQNX,40.967565,29.26595
DD-6F5C1D1A57C443D7BBE1-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,34 dk.,"19,8 km",MG-QI7EFZUASU1CI2X7OP2Z,40.877133,29.23435
DD-D61F11D7517946889545-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"14,3 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
DD-AF447D0003F64EBD9276-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"17,6 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
DD-CEA73364AB0C4C068367-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"7,3 km",MG-MIUDLTMHB4IBGMX7QI9M,41.0162646,29.17775
DD-817713CAEC9A4117A519-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,26 dk.,"9,2 km",MG-OQKXLDBMXGBBSWW0MYXC,40.9688014,29.061672
DD-9E39C944A8EB49BE80C5-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,21 dk.,"8,3 km",MG-NJ56INKIZI4WVHA0SBRH,40.9680529,29.0663491
DD-B0FAD64EDC324E3BBCFE-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"11,4 km",MG-VU46JMWBFPWZB2Z6G4IO,41.011559,29.0384443
DD-E0302BE71410444E816C-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,29 dk.,"26,0 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
DD-3B485045C2DE48A2B493-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"10,8 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
DD-67A5CB3B269F4BAB81AB-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,15 dk.,"9,9 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-B7E817A10C1748B9898A-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,9 dk.,"3,4 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
DD-B5AF202DCA884F80BACC-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,12 dk.,"5,7 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-7029BE61E134492DBB86-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,22 dk.,"9,8 km",MG-PLAUD8AN0LPMGFUJWAIO,40.9497961,29.173943
DD-2803D7BE707F4FC08746-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,24 dk.,"12,0 km",MG-RCSKVKLO3QBCFEDUVI8R,40.922615,29.173975
DD-7136FE826B664E328150-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"13,3 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
DD-3C9E135269CF46C2B3C1-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,21 dk.,"9,3 km",MG-HOSMOXLSEJUNB6YAGKCM,40.98186700000001,29.0576302
DD-27B896202CC14ECFB315-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,35 dk.,"20,2 km",MG-XS93CUGR22QDXP1C5RX3,40.8795759,29.2319681
DD-C726A99476A34DB18BA8-2024-3-4,2024-3-4,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,23 dk.,"12,4 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
DD-DB4AA1AC2419474A9F96-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,17 dk.,"10,8 km",MG-0IPQOYIPCM4EQ8L5OLBI,40.9526798,29.1218732
DD-0F1930337F67442ABA56-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,25 dk.,"17,3 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
DD-7E94AC7DF3704326A97A-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,28 dk.,"22,6 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
