store_id,store_location,store_address,latitude,longitude,depot_id
MG-0IPQOYIPCM4EQ8L5OLBI,İST HİLLTOWN AVM,"Aydınevler Mahallesi Siteler Yolu Sokak No:1 Hiltown AVM B2/MALTEPE, İSTANBUL",40.9526798,29.1218732,DP-9NCBLLHI6RU2U7SXDNRH
MG-GECDC2C5HLV93LCXOZ7S,İST K.YALI ÇINAR CD,"Çınar Mah.Bağdat Cad. No:146/B/MALTEPE, İSTANBUL",40.9436066,29.1130171,DP-9NCBLLHI6RU2U7SXDNRH
MG-CYVLXXHQB244PVVXVYU5,İST MALTEPE MESA CD,"Feyzullah Mahallesi Bağdat Caddesi No:276/A/MALTEPE, İSTANBUL",40.9331636,29.12641279999999,DP-9NCBLLHI6RU2U7SXDNRH
MG-FPSXQ62YWQZ8GFRXNIUR,İST MALTEPE PARK AVM,"Tugay Yolu No:67, 0048/MALTEPE, İSTANBUL",40.9191952,29.1641401,DP-9NCBLLHI6RU2U7SXDNRH
MG-FYEKUDWVT2HT9PHGOHQW,İST MLTP ATATÜRK CD,"Feyzullah mah. Atatürk caddesi No:8/10D/MALTEPE, İSTANBUL",40.9227993,29.1298266,DP-9NCBLLHI6RU2U7SXDNRH
MG-PB1BQVMGF5OMPTYQKXFX,İST PİAZZA AVM,"Ceviz mah. Tugay yolu cd. no:69C Maltepe Piazza avm C blok 1/MALTEPE, İSTANBUL",40.9194316,29.1668144,DP-9NCBLLHI6RU2U7SXDNRH
MG-WZHAOPZ0KLRM0T1ZN6U7,İST KAYNARCA CD,"Kaynarca Mahallesi Deniz Caddesi No:38/C Pendik/İstanbul/PENDİK, İSTANBUL",40.8765881,29.2596582,DP-9NCBLLHI6RU2U7SXDNRH
MG-VVESJOL8ESQXP6VK308G,İST KURTKÖY BAKÜ CD,"Kurtköy mahallesi Bakü caddesi No: 3BG/PENDİK, İSTANBUL",40.9193435,29.3015336,DP-9NCBLLHI6RU2U7SXDNRH
MG-RBMDEQFETZUYWELTUTS7,İST KURTKÖY LENS AVM,"Yenişehir Mahallesi Sümbül Sokak Lens İstanbul C Blok No:2AC/PENDİK, İSTANBUL",40.9273563,29.31097,DP-9NCBLLHI6RU2U7SXDNRH
MG-SWNY7GTJBI89E08T4JFL,İST MARİNTÜRK AVM,"Batı mah. Sahil yolu Marintürk İST City Port TİC MRKZ B Blok/PENDİK, İSTANBUL",40.8712304,29.2319842,DP-9NCBLLHI6RU2U7SXDNRH
MG-R3US4EXI19IFYPJGBGGE,İST NEOMARİN AVM,"Kaynarca Mh., Elka Sk, E5 Üzeri, No:9 Mğz No: ZkK02/PENDİK, İSTANBUL",40.879326,29.258135,DP-9NCBLLHI6RU2U7SXDNRH
MG-7O7S0NFPBMDNXTHPC6FW,İST PENDİK 19 MAY CD,"Batı Mahallesi, 19 Mayıs Caddesi No:26/D ve 26/C Pendik/PENDİK, İSTANBUL",40.877863,29.23139,DP-9NCBLLHI6RU2U7SXDNRH
MG-XS93CUGR22QDXP1C5RX3,İST PENDİK CD,"Batı Mahallesi Gazipaşa Caddesi No:10 Pendik/İstanbul/PENDİK, İSTANBUL",40.8795759,29.2319681,DP-9NCBLLHI6RU2U7SXDNRH
MG-QI7EFZUASU1CI2X7OP2Z,İST PENDİK G.PAŞA CD,"Batı Mahallesi 23 Nisan caddesi No:38/PENDİK, İSTANBUL",40.877133,29.23435,DP-9NCBLLHI6RU2U7SXDNRH
MG-UXJPDIXYECVETWF4FSH5,İST PENDORYA AVM,"Çamçeşme Mahallesi Fabrika Sokak No:5 Pendorya Alışveriş Me/PENDİK, İSTANBUL",40.8661939,29.2749606,DP-9NCBLLHI6RU2U7SXDNRH
MG-G8SER5RHTGTJXVCA9V2M,İST VIAPORT AVM,"Yenişehir Mahallesi Dedepaşa Caddesi/PENDİK, İSTANBUL",40.9395705,29.3176217,DP-9NCBLLHI6RU2U7SXDNRH
MG-KU4AET8EWB1TBDXATSJR,İST SANCAKTEPE CD,"Fatih Blv Fevzi Çakmak Cd. no:2/SANCAKTEPE, İSTANBUL",40.9702857,29.24449559999999,DP-9NCBLLHI6RU2U7SXDNRH
MG-LTWVHHDZLN26T8PU8VJM,İST SNC.DEMOKRASİ CD,"İnönü mah. Demokrasi cad. No:31/AB /SANCAKTEPE, İSTANBUL",41.0102647,29.2160216,DP-9NCBLLHI6RU2U7SXDNRH
MG-C1LGMZ7KTLQUDMPWOYLY,İST ATLASPARK AVM,"Abdurrahmangazi Mah Fatih Bulvarı No:67 Atlaspark AlışvMrk/SULTANBEYLİ, İSTANBUL",40.9696194,29.25556,DP-9NCBLLHI6RU2U7SXDNRH
MG-LEOVSQ2VO3KGWOCAKQNX,İST SULTANBEYLİ CD,"Akif Mah. Fatih Cad. No:141A/SULTANBEYLİ, İSTANBUL",40.967565,29.26595,DP-9NCBLLHI6RU2U7SXDNRH
MG-HFPEK0FWPQMSTC1IXO72,İST ŞİLE CD,"Çavuş Mahallesi, Üsküdar Caddesi, No: 108/ŞİLE, İSTANBUL",41.175887,29.609898,DP-9NCBLLHI6RU2U7SXDNRH
MG-I9OFJAAFBTRDZKGHPZHW,İST TUZLA MARİNA AVM,"Cami Mahallesi, Şehitler Caddesi, No:17, Hblok, ZK123 nolu/TUZLA, İSTANBUL",40.8157139,29.3126996,DP-9NCBLLHI6RU2U7SXDNRH
MG-W3FTCGZLAAICT9DQCBSM,İST AKYAKA AVM,"Saray Mah.Dr.Adnan Büyükdeniz Cd. No:7 A3Blok Akyaka ParkAVM/ÜMRANİYE, İSTANBUL",41.0326174,29.1135949,DP-9NCBLLHI6RU2U7SXDNRH
MG-XSDFXJ93QHQOX0UBNDQN,İST BUYAKA AVM,"Fatih Sultan Mehmet Mahallesi Balkan Caddesi No:56 B/160/ÜMRANİYE, İSTANBUL",41.0264167,29.1276244,DP-9NCBLLHI6RU2U7SXDNRH
MG-STQFARWCNFZ85VRF7ZRK,İST CANPARK AVM,"İnkılap Mahallesi Alemdağ Caddesi No: 169 Can Park AVM/ÜMRANİYE, İSTANBUL",41.0250387,29.1066022,DP-9NCBLLHI6RU2U7SXDNRH
MG-MIUDLTMHB4IBGMX7QI9M,İST METROGARDEN AVM,"Necip Fazıl Mah.Mabeyn Cad.1.Bodrum Katı 10 nolu mağz. No.3/ÜMRANİYE, İSTANBUL",41.0162646,29.17775,DP-9NCBLLHI6RU2U7SXDNRH
MG-W8BLMRKFKLFOQI1NLTYU,İST ÜMR MEYDAN AVM,"Çakmak Mah. Metro Group Sok. No:243/ÜMRANİYE, İSTANBUL",41.03332899999999,29.10136,DP-9NCBLLHI6RU2U7SXDNRH
MG-0YQN4Q7IEZGB3TKJWO8H,İST ÜMR. ALEMDAĞ CD,"Atatürk Mahallesi Alemdağ Caddesi No:15/A Ümraniye/İstanbul/ÜMRANİYE, İSTANBUL",41.024865,29.087227,DP-9NCBLLHI6RU2U7SXDNRH
MG-WUCMUKQH4AYLUTRTG8LC,İST ÜMR. ALEMDAĞ2 CD,"Atatürk Mahallesi Alemdağ Caddesi No:120/A Ümraniye/İstanbul/ÜMRANİYE, İSTANBUL",41.0253685,29.094,DP-9NCBLLHI6RU2U7SXDNRH
MG-MKFEFRJA0WNR9VFIQOTE,İST ACIBADEM PZR CD,"No:97/1A/ÜSKÜDAR, İSTANBUL",41.032236,29.031938,DP-9NCBLLHI6RU2U7SXDNRH
MG-FXIUSMKIJMHQCE5JSKRR,İST ACIBADEM CD,"2. Bölge Bulgurlu Mh. Acıbadem Cd. Başöğretmen Mevkii No:15/ÜSKÜDAR, İSTANBUL",41.007548,29.049733,DP-9NCBLLHI6RU2U7SXDNRH
MG-BMYMWJ7TWHQPXZQNIFJV,İST AKASYA AVM,"Ankara Devlet Yolu Haydarpaşa Yönü 4.km Çeçen Sk. Akasya Avm/ÜSKÜDAR, İSTANBUL",41.0189417,29.0576298,DP-9NCBLLHI6RU2U7SXDNRH
MG-3Y9X0UEV5LLRUAI9TMLQ,İST BEYLERBEYİ CD,"Beylerbeyi mah. yalıboyu cd.no:86/ÜSKÜDAR, İSTANBUL",41.0443431,29.0453111,DP-9NCBLLHI6RU2U7SXDNRH
MG-VCPWSHSGQKT0FTISJRDN,İST CAPİTOL AVM,"Altunizade Mahir İz Cad. 9798 Nolu İşyeri Capitol AVM/ÜSKÜDAR, İSTANBUL",41.0209485,29.0394974,DP-9NCBLLHI6RU2U7SXDNRH
MG-VJEUBK1JZEQGFUY13AYK,İST ÇENGELKÖY CD,"Bekardere Halk Cad.No:37 Çengelköy/ÜSKÜDAR, İSTANBUL",41.049788,29.0545406,DP-9NCBLLHI6RU2U7SXDNRH
MG-JMPF7MWR6SCBZIBCECIE,İST EMAAR SQUARE AVM,"Ayazma Caddesi Çamlıca/ÜSKÜDAR, İSTANBUL",41.0005735,29.0673931,DP-9NCBLLHI6RU2U7SXDNRH
MG-AOUMXHKWRKWOZB5AZ7UN,İST NATOYOLU CD,"Güzeltepe mah. Bosna Bulvarı no:129/2A/ÜSKÜDAR, İSTANBUL",41.0475223,29.0761274,DP-9NCBLLHI6RU2U7SXDNRH
MG-5FABEBGHOVKULDJJMCMG,İST ÜSKÜDAR CD,"Mimar Sinan Mahallesi Hakimiyeti Milliye Caddesi No:12/1 Üsk/ÜSKÜDAR, İSTANBUL",41.02435,29.015512,DP-9NCBLLHI6RU2U7SXDNRH
MG-SQXXEQ2NDMBM6FYLKIVH,İST ÜSKÜDAR SUL. CD,"Tembel Hacı Mehmet Mh, Selmani Pak Cd., No:46/ÜSKÜDAR, İSTANBUL",41.025016,29.0188198,DP-9NCBLLHI6RU2U7SXDNRH
